id,number,html_url,state,merged,title,user_login,user_id,body,created_at,closed_at,merged_at,comments,review_comments,base_repo_name,commits,additions,deletions,changed_files
2253759183,1983,https://github.com/world-federation-of-advertisers/cross-media-measurement/pull/1983,open,False,test: noise correction statistics.,ple13,15066084,,2024-12-27 21:27:17+00:00,,,1,0,cross-media-measurement,24,896,102,12
2247574277,1982,https://github.com/world-federation-of-advertisers/cross-media-measurement/pull/1982,open,False,feat!: Deploy Access as part of Reporting,SanjayVas,1747892,,2024-12-21 02:09:44+00:00,,,1,0,cross-media-measurement,1,569,137,21
2246918549,1981,https://github.com/world-federation-of-advertisers/cross-media-measurement/pull/1981,open,False,style: Address lint errors in metric and metric_service,kungfucraig,700015,,2024-12-20 15:37:22+00:00,,,1,0,cross-media-measurement,4,103,43,3
2245830434,1980,https://github.com/world-federation-of-advertisers/cross-media-measurement/pull/1980,open,False,feat: implement Roles public api,roaminggypsy,37773368,,2024-12-20 02:02:10+00:00,,,1,0,cross-media-measurement,2,740,0,6
2245654089,1979,https://github.com/world-federation-of-advertisers/cross-media-measurement/pull/1979,open,False,build: Update common-jvm dep to 0.99.1,SanjayVas,1747892,,2024-12-19 22:48:46+00:00,,,1,0,cross-media-measurement,1,6,45,3
2245618419,1978,https://github.com/world-federation-of-advertisers/cross-media-measurement/pull/1978,open,False,refactor: Add logging for report processor.,ple13,15066084,,2024-12-19 22:14:55+00:00,,,1,0,cross-media-measurement,10,1696,31,12
2243214920,1977,https://github.com/world-federation-of-advertisers/cross-media-measurement/pull/1977,open,False,feat: Add the containing Report name to Metric,kungfucraig,700015,,2024-12-18 22:38:50+00:00,,,1,0,cross-media-measurement,10,287,90,10
2243132888,1976,https://github.com/world-federation-of-advertisers/cross-media-measurement/pull/1976,open,False,feat: Report processor switches to osqp when highs solver fails to converge.,ple13,15066084,,2024-12-18 21:31:55+00:00,,,1,0,cross-media-measurement,6,75,20,4
2239193645,1974,https://github.com/world-federation-of-advertisers/cross-media-measurement/pull/1974,closed,True,feat: Report processor supports custom measurement policy.,ple13,15066084,,2024-12-17 09:43:13+00:00,2024-12-17 22:15:41+00:00,2024-12-17 22:15:41+00:00,1,0,cross-media-measurement,9,7304,34,6
2238546167,1973,https://github.com/world-federation-of-advertisers/cross-media-measurement/pull/1973,closed,True,build: Update any-sketch-java dep for Maven coordinates,SanjayVas,1747892,,2024-12-17 00:57:43+00:00,2024-12-17 16:36:42+00:00,2024-12-17 16:36:42+00:00,1,0,cross-media-measurement,1,2393,1533,60
2238483559,1972,https://github.com/world-federation-of-advertisers/cross-media-measurement/pull/1972,closed,True,style: Address lint errors.,kungfucraig,700015,,2024-12-16 23:50:42+00:00,2024-12-20 14:49:54+00:00,2024-12-20 14:49:54+00:00,1,0,cross-media-measurement,3,23,17,9
2238472198,1971,https://github.com/world-federation-of-advertisers/cross-media-measurement/pull/1971,closed,True,build: Update common-jvm to 0.98.0,tristanvuong2021,85768771,,2024-12-16 23:40:07+00:00,2024-12-17 23:42:09+00:00,2024-12-17 23:42:09+00:00,2,0,cross-media-measurement,3,45,6,3
